RepRapFirmware height map file v2 generated at 2021-01-08 10:39, min error -0.221, max error 0.176, mean 0.000, deviation 0.110
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,20.00,180.00,-1.00,40.00,40.00,8,5
  0.174,  0.176,  0.163,  0.136,  0.099,  0.049,  0.023,  0.008
  0.118,  0.130,  0.111,  0.079,  0.033, -0.019, -0.055, -0.087
  0.076,  0.088,  0.064,  0.023, -0.026, -0.086, -0.127, -0.164
  0.059,  0.064,  0.034, -0.013, -0.069, -0.132, -0.171, -0.210
  0.071,  0.059,  0.019, -0.027, -0.093, -0.156, -0.197, -0.221
